/* DATA DESCRIPTION:
THIS IS PRELIMINARY RAW DATA! DO NOT USE IN PUBLICATIONS!
FOR PUBLICATIONS VISIT WWW.PANGAEA.DE TO FIND THE VALIDATED DATASET!
Institution: Alfred Wegener Institut, Helmholtz Center for Polar and Marine Research
Station name: DBLK
WMO ID: 00067
PI: Holger Schmithüsen [holger.schmithuesen@awi.de]
Operator: Alina Herzog
Cruise: PS116


Coverage:	LATITUDE: 40.81954 * LONGITUDE: -11.52920
	DATE/TIME START: 2018-11-15T11:24:25 * DATE/TIME END: 2018-11-15T13:16:33
	MINIMUM ALTITUDE: 10m * MAXIMUM ALTITUDE: 33735m
*/
Altitude [m]	PPPP [hPa]	TTT [°C]	RH [%]	dd [deg]	ff [m/s]
14265	137.04	-60.58	2.5	180	11.0
14270	136.95	-60.56	2.5	180	11.0
14274	136.86	-60.55	2.5	180	11.0
14279	136.77	-60.53	2.5	180	11.0
14283	136.68	-60.51	2.5	181	10.9
14286	136.59	-60.48	2.5	181	10.9
14291	136.50	-60.46	2.4	181	10.9
14295	136.41	-60.42	2.4	181	10.8
14298	136.32	-60.39	2.4	182	10.8
14303	136.22	-60.35	2.4	182	10.8
14307	136.13	-60.32	2.4	182	10.7
14311	136.03	-60.28	2.4	183	10.7
14316	135.93	-60.25	2.4	183	10.6
14321	135.84	-60.22	2.4	183	10.6
14327	135.74	-60.18	2.4	184	10.5
14331	135.65	-60.16	2.4	184	10.5
14334	135.56	-60.13	2.4	184	10.4
14338	135.47	-60.12	2.3	185	10.4
14341	135.38	-60.11	2.3	185	10.3
14346	135.29	-60.11	2.3	185	10.2
14350	135.20	-60.11	2.3	185	10.2
14355	135.10	-60.11	2.3	186	10.1
14358	135.01	-60.12	2.3	186	10.0
14363	134.92	-60.12	2.3	186	10.0
14368	134.82	-60.11	2.3	187	9.9
14372	134.73	-60.10	2.3	187	9.8
14376	134.64	-60.08	2.3	187	9.7
14380	134.54	-60.06	2.3	187	9.6
14385	134.45	-60.03	2.3	187	9.6
14388	134.36	-60.01	2.3	187	9.5
14393	134.26	-60.00	2.2	188	9.4
14398	134.17	-59.99	2.2	188	9.3
14402	134.08	-59.98	2.2	188	9.2
14407	133.99	-59.97	2.2	188	9.1
14410	133.90	-59.97	2.2	188	9.0
14415	133.81	-59.96	2.2	188	8.9
14419	133.72	-59.95	2.1	188	8.8
14423	133.63	-59.92	2.1	187	8.7
14426	133.54	-59.88	2.1	187	8.6
14432	133.45	-59.83	2.1	187	8.6
14435	133.36	-59.78	2.1	187	8.5
14440	133.27	-59.75	2.1	187	8.4
14443	133.18	-59.73	2.1	186	8.3
14448	133.09	-59.71	2.1	186	8.2
14453	133.00	-59.68	2.1	186	8.2
14458	132.92	-59.64	2.1	185	8.1
14460	132.83	-59.61	2.0	185	8.1
14464	132.74	-59.59	2.0	184	8.0
14469	132.66	-59.59	2.0	184	8.0
14472	132.57	-59.60	2.0	183	7.9
14477	132.48	-59.62	2.0	183	7.9
14480	132.39	-59.63	2.0	183	7.9
14485	132.29	-59.63	2.0	182	7.9
14491	132.20	-59.62	2.0	182	7.9
14495	132.10	-59.58	2.0	182	7.9
14500	132.01	-59.53	1.9	181	7.9
14504	131.91	-59.47	1.9	181	7.9
14508	131.81	-59.41	1.9	181	7.9
14513	131.72	-59.35	1.9	181	7.9
14518	131.63	-59.30	1.9	181	7.9
14521	131.53	-59.27	1.9	180	8.0
14527	131.44	-59.25	1.9	180	8.0
14531	131.35	-59.24	1.9	180	8.0
14536	131.26	-59.24	1.9	180	8.0
14538	131.17	-59.24	1.9	180	8.1
14544	131.08	-59.23	1.9	180	8.1
14548	130.98	-59.21	1.9	180	8.1
14553	130.89	-59.20	1.9	180	8.1
14556	130.80	-59.19	1.9	180	8.2
14561	130.70	-59.19	1.9	180	8.2
14567	130.61	-59.19	1.9	180	8.2
14571	130.52	-59.20	1.9	180	8.2
14575	130.42	-59.21	1.9	180	8.2
14579	130.33	-59.22	1.9	180	8.2
14584	130.23	-59.24	1.9	180	8.2
14588	130.14	-59.25	1.9	180	8.2
14593	130.05	-59.28	1.9	180	8.3
14597	129.96	-59.30	1.9	179	8.3
14602	129.86	-59.33	2.0	179	8.3
14606	129.77	-59.36	2.0	179	8.3
14611	129.68	-59.37	2.0	179	8.3
14616	129.59	-59.36	2.0	178	8.3
14620	129.50	-59.33	2.0	178	8.3
14624	129.42	-59.30	2.0	178	8.3
14627	129.33	-59.27	2.0	177	8.3
14631	129.25	-59.26	2.0	177	8.3
14636	129.16	-59.26	2.0	177	8.3
14639	129.07	-59.26	2.0	176	8.3
14644	128.99	-59.27	2.0	176	8.4
14648	128.89	-59.27	2.0	176	8.4
14653	128.80	-59.27	2.1	175	8.4
14657	128.71	-59.26	2.1	175	8.4
14662	128.62	-59.25	2.1	175	8.4
14667	128.53	-59.21	2.1	174	8.4
14671	128.43	-59.17	2.1	174	8.4
14676	128.34	-59.13	2.0	174	8.5
14680	128.26	-59.10	2.0	174	8.5
14684	128.17	-59.08	2.0	173	8.5
14689	128.08	-59.09	2.0	173	8.5
14693	128.00	-59.11	2.0	173	8.5
14696	127.91	-59.14	2.0	173	8.5
14699	127.83	-59.17	2.0	173	8.5
14705	127.74	-59.19	2.0	173	8.5
14708	127.65	-59.21	2.0	173	8.5
14714	127.56	-59.22	2.0	173	8.5
14719	127.47	-59.21	2.0	172	8.4
14723	127.38	-59.19	2.0	172	8.4
14727	127.29	-59.17	2.0	172	8.4
14732	127.20	-59.14	2.0	172	8.3
14736	127.10	-59.12	2.0	172	8.3
14741	127.01	-59.10	2.0	172	8.2
14746	126.92	-59.09	2.0	172	8.2
14750	126.84	-59.09	2.0	173	8.1
14754	126.75	-59.10	2.0	173	8.1
14758	126.66	-59.11	2.0	173	8.0
14762	126.57	-59.13	2.0	173	7.9
14767	126.48	-59.15	1.9	173	7.9
14771	126.39	-59.17	1.9	173	7.8
14777	126.31	-59.19	1.9	173	7.7
14780	126.22	-59.20	1.9	173	7.6
14785	126.13	-59.21	1.9	173	7.5
14788	126.05	-59.22	1.9	173	7.4
14792	125.96	-59.22	1.9	173	7.4
14797	125.88	-59.22	1.9	173	7.3
14801	125.79	-59.22	1.9	173	7.2
14805	125.71	-59.22	1.9	173	7.1
14810	125.62	-59.21	1.9	173	7.0
14814	125.53	-59.20	1.9	173	6.9
14819	125.44	-59.19	1.9	173	6.8
14824	125.35	-59.17	1.9	173	6.7
14828	125.26	-59.16	1.9	173	6.7
14832	125.17	-59.14	1.9	173	6.6
14837	125.09	-59.12	1.9	173	6.5
14840	125.00	-59.11	1.9	173	6.4
14845	124.91	-59.09	1.9	173	6.3
14850	124.83	-59.07	1.9	173	6.3
14854	124.74	-59.05	1.9	173	6.2
14858	124.66	-59.02	1.9	173	6.1
14863	124.58	-58.99	1.9	173	6.0
14867	124.49	-58.96	1.9	173	6.0
14871	124.41	-58.92	1.9	173	5.9
14874	124.33	-58.89	1.9	173	5.9
14878	124.25	-58.85	1.9	173	5.8
14883	124.16	-58.80	1.8	173	5.8
14887	124.07	-58.74	1.8	173	5.7
14892	123.99	-58.68	1.8	173	5.7
14896	123.90	-58.62	1.8	173	5.6
14902	123.81	-58.56	1.8	173	5.6
14906	123.73	-58.51	1.8	173	5.5
14911	123.64	-58.46	1.8	172	5.5
14913	123.56	-58.43	1.8	172	5.5
14916	123.47	-58.41	1.8	172	5.5
14922	123.39	-58.39	1.8	172	5.5
14926	123.30	-58.38	1.8	172	5.4
14932	123.21	-58.36	1.8	173	5.4
14936	123.13	-58.34	1.8	173	5.4
14941	123.04	-58.31	1.8	173	5.5
14945	122.95	-58.29	1.8	173	5.5
14950	122.87	-58.28	1.8	173	5.5
14953	122.78	-58.28	1.8	173	5.5
14957	122.70	-58.30	1.8	173	5.6
14962	122.62	-58.33	1.8	173	5.6
14966	122.53	-58.36	1.8	174	5.7
14969	122.45	-58.40	1.8	174	5.7
14973	122.36	-58.44	1.8	174	5.8
14979	122.27	-58.48	1.8	174	5.9
14985	122.19	-58.52	1.8	175	6.0
14989	122.10	-58.55	1.8	175	6.0
14993	122.01	-58.59	1.8	175	6.1
14997	121.93	-58.62	1.8	176	6.2
15002	121.84	-58.66	1.8	176	6.3
15006	121.76	-58.69	1.9	176	6.4
15010	121.67	-58.73	1.9	177	6.5
15015	121.59	-58.76	1.9	177	6.6
15019	121.51	-58.78	1.9	177	6.7
15023	121.42	-58.79	1.9	178	6.8
15028	121.34	-58.79	1.9	178	6.9
15031	121.26	-58.77	1.9	179	7.0
15036	121.17	-58.76	1.9	179	7.1
15041	121.09	-58.74	1.8	179	7.1
15045	121.01	-58.72	1.8	180	7.2
15048	120.93	-58.71	1.8	180	7.3
15053	120.84	-58.70	1.8	180	7.4
15057	120.76	-58.69	1.8	180	7.4
15062	120.68	-58.66	1.8	181	7.5
15066	120.59	-58.62	1.8	181	7.5
15071	120.51	-58.56	1.8	181	7.5
15075	120.43	-58.50	1.8	182	7.6
15080	120.34	-58.44	1.8	182	7.6
15083	120.26	-58.40	1.8	182	7.6
15087	120.18	-58.37	1.7	183	7.6
15091	120.10	-58.35	1.7	183	7.6
15096	120.02	-58.34	1.7	183	7.6
15101	119.93	-58.32	1.7	184	7.6
15105	119.84	-58.31	1.7	184	7.6
15109	119.76	-58.29	1.7	184	7.6
15116	119.67	-58.28	1.7	185	7.6
15119	119.58	-58.27	1.7	185	7.5
15123	119.49	-58.27	1.7	186	7.5
15129	119.41	-58.27	1.7	186	7.5
15134	119.32	-58.29	1.7	186	7.5
15138	119.24	-58.30	1.7	187	7.5
15141	119.16	-58.32	1.7	187	7.5
15145	119.08	-58.34	1.7	188	7.4
15151	119.00	-58.36	1.7	188	7.4
15154	118.92	-58.38	1.7	189	7.4
15158	118.84	-58.40	1.7	189	7.4
15163	118.76	-58.41	1.7	190	7.4
15167	118.68	-58.42	1.7	190	7.5
15171	118.60	-58.43	1.8	190	7.5
15175	118.52	-58.45	1.8	191	7.5
15179	118.45	-58.46	1.8	191	7.5
15183	118.37	-58.47	1.8	192	7.5
15187	118.29	-58.47	1.8	192	7.6
15192	118.21	-58.48	1.8	192	7.6
15196	118.13	-58.48	1.8	193	7.7
15200	118.06	-58.49	1.8	193	7.7
15204	117.98	-58.50	1.8	193	7.8
15207	117.90	-58.52	1.8	194	7.8
15212	117.82	-58.55	1.8	194	7.9
15217	117.73	-58.58	1.8	194	7.9
15221	117.65	-58.60	1.8	195	8.0
15226	117.57	-58.63	1.8	195	8.1
15230	117.48	-58.64	1.8	195	8.1
15236	117.39	-58.65	1.8	196	8.2
15240	117.30	-58.65	1.8	196	8.3
15244	117.22	-58.65	1.8	196	8.3
15249	117.13	-58.66	1.8	196	8.4
15254	117.04	-58.67	1.8	197	8.4
15259	116.95	-58.68	1.8	197	8.5
15264	116.86	-58.70	1.8	197	8.5
15269	116.77	-58.72	1.8	198	8.6
15274	116.68	-58.73	1.8	198	8.6
15278	116.59	-58.74	1.8	198	8.7
15283	116.50	-58.74	1.8	198	8.7
15289	116.41	-58.74	1.8	199	8.8
15293	116.32	-58.74	1.8	199	8.8
15298	116.23	-58.75	1.8	199	8.8
15303	116.14	-58.76	1.8	199	8.8
15308	116.06	-58.77	1.8	200	8.9
15312	115.98	-58.79	1.8	200	8.9
15315	115.90	-58.80	1.8	200	8.9
15320	115.82	-58.81	1.8	200	8.9
15324	115.74	-58.82	1.8	200	8.9
15329	115.67	-58.82	1.8	201	8.9
15332	115.59	-58.82	1.8	201	8.9
15337	115.52	-58.82	1.8	201	8.9
15341	115.44	-58.82	1.8	201	8.9
15345	115.37	-58.83	1.8	202	8.8
15348	115.29	-58.83	1.8	202	8.8
15353	115.22	-58.85	1.8	202	8.8
15356	115.14	-58.86	1.8	203	8.8
15360	115.07	-58.87	1.8	203	8.7
15365	114.99	-58.89	1.8	203	8.7
15369	114.91	-58.90	1.8	204	8.6
15374	114.83	-58.92	1.8	204	8.6
15378	114.75	-58.93	1.8	205	8.6
15384	114.66	-58.95	1.8	205	8.5
15388	114.58	-58.96	1.8	205	8.5
15393	114.50	-58.97	1.8	206	8.4
15397	114.43	-58.99	1.8	206	8.4
15399	114.35	-59.00	1.8	207	8.3
15403	114.27	-59.02	1.8	208	8.3
15409	114.19	-59.04	1.8	208	8.2
15413	114.11	-59.06	1.8	209	8.2
15418	114.03	-59.07	1.8	209	8.1
15423	113.95	-59.09	1.8	210	8.1
15426	113.86	-59.11	1.8	211	8.0
15432	113.78	-59.13	1.8	212	8.0
15436	113.70	-59.14	1.9	212	8.0
15440	113.62	-59.15	1.9	213	7.9
15444	113.54	-59.15	1.9	214	7.9
15448	113.46	-59.15	1.9	215	7.9
15454	113.38	-59.13	1.9	216	7.8
15458	113.30	-59.12	1.9	217	7.8
15462	113.22	-59.10	1.9	217	7.8
15467	113.13	-59.07	1.9	218	7.8
15472	113.05	-59.04	1.8	219	7.8
15475	112.96	-59.00	1.8	220	7.8
15481	112.88	-58.95	1.8	221	7.8
15487	112.79	-58.91	1.8	222	7.8
15491	112.70	-58.87	1.8	223	7.8
15496	112.61	-58.86	1.8	223	7.8
15501	112.52	-58.85	1.8	224	7.8
15506	112.44	-58.86	1.8	225	7.8
15511	112.35	-58.87	1.8	226	7.8
15516	112.26	-58.88	1.8	226	7.8
15520	112.18	-58.88	1.8	227	7.8
15527	112.09	-58.88	1.8	228	7.8
15531	112.01	-58.87	1.8	228	7.8
15533	111.93	-58.87	1.8	229	7.8
15538	111.85	-58.88	1.8	229	7.7
15543	111.77	-58.91	1.8	229	7.7
15548	111.69	-58.94	1.8	230	7.7
15551	111.61	-58.97	1.8	230	7.6
15558	111.53	-59.00	1.8	230	7.6
15563	111.45	-59.01	1.8	231	7.5
15566	111.37	-59.01	1.8	231	7.5
15569	111.29	-58.98	1.8	231	7.4
15575	111.22	-58.95	1.8	231	7.3
15578	111.14	-58.92	1.8	231	7.3
15582	111.06	-58.89	1.8	231	7.2
15587	110.99	-58.87	1.8	231	7.1
15590	110.91	-58.87	1.8	231	7.0
15597	110.83	-58.89	1.8	231	6.9
15600	110.75	-58.92	1.8	231	6.8
15606	110.67	-58.95	1.8	231	6.7
15610	110.59	-58.98	1.8	230	6.6
15615	110.51	-59.00	1.8	230	6.5
15619	110.43	-59.02	1.8	230	6.4
15624	110.35	-59.03	1.8	229	6.3
15628	110.27	-59.04	1.8	229	6.2
15632	110.19	-59.04	1.8	228	6.1
15637	110.11	-59.05	1.8	228	6.0
15641	110.03	-59.06	1.8	227	5.9
15646	109.94	-59.07	1.8	226	5.9
15651	109.86	-59.09	1.9	226	5.8
15656	109.78	-59.11	1.9	225	5.7
15662	109.69	-59.13	1.9	224	5.6
15667	109.61	-59.16	1.9	223	5.5
15670	109.54	-59.19	1.9	222	5.4
15674	109.46	-59.21	1.9	221	5.4
15679	109.39	-59.24	1.9	220	5.3
15682	109.32	-59.26	1.9	219	5.2
15686	109.24	-59.28	1.9	218	5.2
15691	109.17	-59.30	1.9	216	5.1
15695	109.09	-59.32	1.9	215	5.1
15698	109.02	-59.34	1.9	214	5.1
15704	108.94	-59.37	1.9	213	5.0
15709	108.86	-59.40	1.9	211	5.0
15713	108.78	-59.43	1.9	210	5.0
15718	108.70	-59.46	1.9	209	4.9
15722	108.63	-59.48	1.9	208	4.9
15725	108.55	-59.48	1.9	207	4.9
15730	108.47	-59.46	1.9	206	4.9
15736	108.39	-59.43	1.9	205	4.9
15741	108.31	-59.39	1.9	205	4.9
15745	108.23	-59.34	1.9	204	4.9
15749	108.15	-59.29	1.9	204	4.9
15753	108.07	-59.24	1.9	203	5.0
15758	107.99	-59.21	1.9	203	5.0
15763	107.91	-59.19	1.9	203	5.0
15769	107.83	-59.19	1.8	203	5.0
15773	107.75	-59.20	1.8	203	5.0
15777	107.67	-59.22	1.8	203	5.1
15782	107.59	-59.24	1.8	204	5.1
15786	107.51	-59.27	1.8	204	5.1
15791	107.43	-59.29	1.8	205	5.1
15796	107.36	-59.31	1.8	206	5.1
15800	107.28	-59.33	1.8	206	5.2
15805	107.20	-59.35	1.8	207	5.2
15809	107.13	-59.36	1.8	208	5.2
15813	107.05	-59.36	1.8	209	5.3
15818	106.97	-59.36	1.8	210	5.3
15823	106.89	-59.33	1.8	211	5.3
15827	106.81	-59.30	1.8	212	5.4
15832	106.72	-59.26	1.8	213	5.4
15837	106.64	-59.23	1.8	214	5.4
15842	106.56	-59.20	1.8	214	5.5
15848	106.48	-59.17	1.8	215	5.5
15854	106.40	-59.14	1.8	216	5.5
15856	106.33	-59.11	1.8	216	5.6
15860	106.25	-59.09	1.8	217	5.6
15864	106.18	-59.08	1.8	217	5.6
15868	106.11	-59.08	1.8	217	5.6
15873	106.03	-59.08	1.8	217	5.7
15877	105.96	-59.09	1.8	217	5.7
15883	105.88	-59.11	1.8	217	5.7
15888	105.80	-59.12	1.8	216	5.7
15890	105.73	-59.13	1.8	216	5.7
15895	105.65	-59.13	1.8	216	5.8
15901	105.57	-59.13	1.8	215	5.8
15905	105.49	-59.12	1.8	214	5.8
15911	105.41	-59.12	1.8	214	5.8
15914	105.33	-59.12	1.8	213	5.8
15919	105.25	-59.13	1.8	212	5.8
15925	105.17	-59.16	1.8	211	5.9
15929	105.09	-59.19	1.8	210	5.9
15935	105.01	-59.23	1.8	210	5.9
15938	104.94	-59.28	1.8	209	6.0
15943	104.86	-59.32	1.8	208	6.0
15948	104.78	-59.37	1.8	207	6.0
15951	104.71	-59.41	1.8	207	6.1
15956	104.63	-59.45	1.8	206	6.1
15962	104.55	-59.48	1.8	206	6.2
15966	104.47	-59.51	1.8	205	6.2
15971	104.39	-59.52	1.8	205	6.3
15976	104.31	-59.53	1.8	205	6.3
15980	104.23	-59.54	1.8	204	6.4
15985	104.16	-59.54	1.8	204	6.4
15990	104.08	-59.54	1.9	204	6.5
15994	104.00	-59.54	1.9	204	6.5
16000	103.92	-59.55	1.9	204	6.6
16003	103.85	-59.57	1.9	204	6.6
16008	103.77	-59.60	1.9	205	6.7
16013	103.69	-59.63	1.9	205	6.7
16018	103.62	-59.66	1.9	205	6.7
16022	103.54	-59.69	1.9	206	6.8
16026	103.47	-59.71	1.9	206	6.8
16032	103.39	-59.74	1.9	206	6.9
16036	103.32	-59.76	2.0	207	6.9
16040	103.24	-59.79	2.0	208	6.9
16044	103.17	-59.82	2.0	208	7.0
16048	103.09	-59.86	2.0	209	7.0
16054	103.02	-59.90	2.0	209	7.1
16058	102.94	-59.93	2.0	210	7.1
16062	102.87	-59.97	2.0	211	7.1
16069	102.79	-60.00	2.0	212	7.2
16072	102.71	-60.03	2.0	213	7.2
16077	102.63	-60.06	2.0	213	7.3
16082	102.56	-60.09	2.0	214	7.3
16086	102.48	-60.12	2.0	215	7.3
16091	102.41	-60.15	2.0	216	7.4
16096	102.33	-60.18	2.0	217	7.4
16101	102.26	-60.22	2.0	218	7.5
16103	102.18	-60.26	2.0	219	7.5
16108	102.11	-60.30	2.1	219	7.6
16112	102.03	-60.34	2.1	220	7.6
16119	101.96	-60.37	2.1	221	7.7
16124	101.88	-60.40	2.1	222	7.8
16128	101.80	-60.42	2.1	223	7.8
16131	101.73	-60.43	2.1	223	7.9
16138	101.65	-60.43	2.1	224	7.9
16143	101.58	-60.42	2.1	225	8.0
16145	101.51	-60.42	2.1	225	8.1
16150	101.43	-60.41	2.1	226	8.1
16155	101.36	-60.40	2.1	226	8.2
16159	101.28	-60.40	2.1	227	8.2
16164	101.21	-60.40	2.1	227	8.3
16169	101.13	-60.41	2.1	227	8.4
16175	101.05	-60.43	2.1	228	8.4
16178	100.98	-60.45	2.1	228	8.5
16184	100.90	-60.47	2.1	228	8.5
16188	100.83	-60.50	2.1	228	8.6
16192	100.75	-60.52	2.1	228	8.6
16197	100.68	-60.54	2.1	228	8.7
16201	100.61	-60.56	2.1	228	8.7
16205	100.54	-60.59	2.1	228	8.7
16210	100.47	-60.62	2.1	228	8.8
16215	100.39	-60.65	2.1	228	8.8
16219	100.32	-60.69	2.1	228	8.8
16224	100.25	-60.72	2.1	228	8.8
16228	100.18	-60.75	2.1	228	8.9
16231	100.11	-60.78	2.1	227	8.9
16236	100.04	-60.81	2.2	227	8.9
16240	99.97	-60.83	2.2	227	8.9
16247	99.90	-60.86	2.2	227	8.9
16249	99.83	-60.89	2.2	227	8.8
16253	99.76	-60.91	2.2	227	8.8
16258	99.69	-60.94	2.2	227	8.8
16263	99.61	-60.97	2.2	226	8.7
16267	99.54	-61.00	2.2	226	8.7
16272	99.47	-61.02	2.2	226	8.7
16276	99.40	-61.05	2.2	226	8.6
16281	99.32	-61.08	2.2	226	8.6
16286	99.25	-61.10	2.2	226	8.5
16291	99.18	-61.12	2.2	226	8.4
16294	99.11	-61.14	2.2	226	8.4
16299	99.04	-61.15	2.2	226	8.3
16304	98.98	-61.17	2.2	225	8.2
16307	98.91	-61.18	2.2	225	8.1
16310	98.84	-61.18	2.2	225	8.1
16314	98.78	-61.19	2.2	225	8.0
16320	98.71	-61.18	2.2	225	7.9
16325	98.65	-61.18	2.2	225	7.8
16328	98.58	-61.18	2.2	224	7.7
16331	98.51	-61.18	2.2	224	7.7
16335	98.45	-61.18	2.2	224	7.6
16340	98.38	-61.18	2.2	224	7.5
16343	98.31	-61.19	2.2	224	7.5
16348	98.24	-61.20	2.2	223	7.4
16352	98.17	-61.22	2.2	223	7.3
16358	98.10	-61.24	2.2	223	7.3
16363	98.03	-61.26	2.2	223	7.2
16367	97.96	-61.28	2.2	223	7.1
16371	97.89	-61.30	2.2	223	7.1
16375	97.82	-61.31	2.2	222	7.1
16380	97.75	-61.33	2.2	222	7.0
16386	97.69	-61.35	2.2	222	7.0
16389	97.62	-61.36	2.2	222	6.9
16392	97.55	-61.37	2.2	222	6.9
16396	97.48	-61.38	2.2	222	6.9
16400	97.41	-61.38	2.2	222	6.8
16406	97.34	-61.38	2.2	222	6.8
16411	97.27	-61.39	2.2	223	6.8
16415	97.20	-61.40	2.2	223	6.8
16420	97.13	-61.40	2.2	223	6.7
16424	97.06	-61.41	2.2	223	6.7
16429	96.99	-61.40	2.2	223	6.7
16433	96.92	-61.39	2.2	224	6.6
16437	96.85	-61.36	2.2	224	6.6
16441	96.79	-61.33	2.2	224	6.6
16445	96.72	-61.29	2.2	225	6.6
16450	96.65	-61.25	2.2	225	6.5
16454	96.59	-61.21	2.2	225	6.5
16459	96.52	-61.18	2.2	225	6.4
16463	96.45	-61.17	2.2	226	6.4
16468	96.38	-61.16	2.2	226	6.4
16472	96.31	-61.16	2.2	226	6.3
16477	96.24	-61.16	2.2	226	6.2
16482	96.16	-61.17	2.2	226	6.2
16487	96.09	-61.18	2.2	226	6.1
16492	96.02	-61.19	2.2	226	6.0
16495	95.96	-61.20	2.2	226	6.0
16499	95.89	-61.22	2.2	226	5.9
16503	95.82	-61.23	2.2	226	5.8
16507	95.75	-61.24	2.2	225	5.7
16514	95.68	-61.24	2.2	225	5.6
16518	95.60	-61.24	2.2	224	5.5
16523	95.53	-61.23	2.2	224	5.4
16527	95.46	-61.22	2.2	223	5.4
16533	95.39	-61.20	2.2	223	5.3
16538	95.32	-61.18	2.2	222	5.2
16542	95.25	-61.16	2.2	221	5.1
16545	95.18	-61.16	2.2	221	5.0
16549	95.12	-61.16	2.2	220	4.9
16553	95.05	-61.18	2.2	219	4.8
16558	94.98	-61.20	2.2	218	4.7
16563	94.92	-61.22	2.1	217	4.6
16566	94.85	-61.25	2.1	216	4.6
16571	94.78	-61.27	2.1	215	4.5
16577	94.72	-61.29	2.1	214	4.5
16579	94.65	-61.31	2.1	213	4.4
16585	94.58	-61.32	2.1	212	4.4
16590	94.51	-61.34	2.1	211	4.3
16593	94.44	-61.34	2.1	210	4.3
16598	94.37	-61.32	2.1	209	4.3
16602	94.30	-61.28	2.1	208	4.3
16607	94.23	-61.22	2.1	207	4.3
16613	94.16	-61.14	2.1	206	4.3
16617	94.08	-61.06	2.1	205	4.3
16622	94.01	-60.98	2.1	204	4.3
16627	93.93	-60.93	2.1	203	4.4
16632	93.86	-60.90	2.1	202	4.4
16637	93.79	-60.89	2.1	201	4.4
16642	93.72	-60.91	2.0	201	4.5
16647	93.65	-60.93	2.0	200	4.6
16651	93.58	-60.96	2.0	199	4.6
16656	93.51	-61.00	2.0	199	4.7
16660	93.44	-61.04	2.0	198	4.8
16664	93.37	-61.08	2.0	198	4.9
16668	93.30	-61.12	2.1	198	4.9
16674	93.23	-61.16	2.1	198	5.0
16679	93.16	-61.20	2.1	197	5.1
16684	93.09	-61.24	2.1	197	5.2
16687	93.02	-61.27	2.1	197	5.3
16694	92.95	-61.31	2.1	198	5.4
16697	92.88	-61.34	2.1	198	5.5
16703	92.81	-61.37	2.1	198	5.6
16707	92.74	-61.40	2.1	198	5.7
16710	92.68	-61.44	2.1	199	5.8
16714	92.61	-61.47	2.1	199	5.9
16720	92.54	-61.51	2.1	200	6.0
16724	92.48	-61.54	2.1	200	6.1
16728	92.41	-61.57	2.1	201	6.1
16733	92.34	-61.59	2.1	201	6.2
16739	92.28	-61.60	2.2	202	6.3
16744	92.21	-61.60	2.2	202	6.4
16747	92.15	-61.60	2.2	203	6.5
16749	92.09	-61.58	2.2	204	6.5
16753	92.03	-61.57	2.2	204	6.6
16757	91.96	-61.55	2.2	205	6.7
16763	91.90	-61.54	2.2	205	6.8
16767	91.83	-61.52	2.2	206	6.8
16772	91.76	-61.52	2.2	206	6.9
16777	91.70	-61.52	2.2	207	7.0
16781	91.63	-61.52	2.2	207	7.1
16786	91.56	-61.53	2.2	208	7.1
16791	91.49	-61.54	2.2	208	7.2
16796	91.42	-61.56	2.2	208	7.3
16800	91.36	-61.58	2.2	209	7.3
16803	91.29	-61.61	2.2	209	7.4
16809	91.22	-61.65	2.2	209	7.5
16814	91.15	-61.68	2.2	209	7.5
16818	91.08	-61.72	2.2	209	7.6
16824	91.01	-61.75	2.2	209	7.7
16828	90.94	-61.79	2.2	210	7.8
16832	90.87	-61.82	2.2	210	7.8
16837	90.80	-61.85	2.2	209	7.9
16842	90.74	-61.87	2.2	209	8.0
16846	90.67	-61.90	2.2	209	8.1
16851	90.60	-61.93	2.3	209	8.2
16856	90.54	-61.96	2.3	209	8.2
16859	90.47	-61.99	2.3	209	8.3
16864	90.41	-62.02	2.3	209	8.4
16867	90.34	-62.05	2.3	209	8.5
16873	90.28	-62.08	2.3	209	8.6
16877	90.21	-62.12	2.3	209	8.7
16882	90.14	-62.15	2.3	208	8.8
16887	90.07	-62.18	2.3	208	8.9
16893	90.01	-62.21	2.3	208	8.9
16896	89.94	-62.24	2.3	208	9.0
16902	89.87	-62.27	2.3	208	9.1
16906	89.81	-62.30	2.3	208	9.2
16909	89.74	-62.32	2.3	207	9.3
16915	89.68	-62.34	2.4	207	9.4
16918	89.62	-62.37	2.4	207	9.5
16919	89.56	-62.39	2.4	207	9.6
16927	89.49	-62.42	2.4	207	9.6
16932	89.43	-62.45	2.4	207	9.7
16937	89.36	-62.48	2.4	207	9.8
16941	89.30	-62.51	2.4	207	9.9
16946	89.23	-62.55	2.4	207	10.0
16950	89.17	-62.57	2.4	207	10.0
16953	89.12	-62.59	2.4	207	10.1
16957	89.06	-62.61	2.4	207	10.1
16960	89.00	-62.63	2.4	207	10.2
16964	88.95	-62.66	2.4	207	10.3
16967	88.89	-62.68	2.4	207	10.3
16973	88.83	-62.71	2.4	207	10.4
16976	88.77	-62.73	2.4	208	10.4
16981	88.71	-62.75	2.4	208	10.5
16987	88.64	-62.77	2.4	208	10.5
16990	88.58	-62.78	2.4	208	10.5
16995	88.51	-62.81	2.4	209	10.6
16999	88.45	-62.83	2.5	209	10.6
17003	88.38	-62.84	2.5	209	10.7
17009	88.32	-62.86	2.5	210	10.7
17013	88.25	-62.86	2.5	210	10.8
